,Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,SMA_50,SMA_200,Text,Subjectivity,Polarity,Compound,Negative,Neutral,Positive
0,2022-07-15,240.0,243.623337,236.889999,240.066666,240.066666,69683100,0.007357233998555035,240.80746679999996,302.94263298,Elon Musk demands months for trial prep in Twitter suit  reports say,0.0,0.0,0.0,0.0,1.0,0.0
1,2022-07-15,240.0,243.623337,236.889999,240.066666,240.066666,69683100,0.007357233998555035,240.80746679999996,302.94263298,Tesla  Ford  and GMs Plan to Unlock EV Battery Capacity,0.0,0.0,0.0,0.0,1.0,0.0
2,2022-07-15,240.0,243.623337,236.889999,240.066666,240.066666,69683100,0.007357233998555035,240.80746679999996,302.94263298,How U S  Auto Makers Are Fighting for a Piece of the EV Battery Market,0.0,0.0,-0.3612,0.152,0.848,0.0
3,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,UPDATE   Tesla investors should vote against   board members' re election   ISS,0.0,0.0,0.0,0.0,1.0,0.0
4,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Teslas Denholm Says Australia Is Key to Avoid EV Battery Crunch,1.0,0.0,-0.296,0.18,0.82,0.0
5,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla investors should vote against   board members' re election   ISS,0.0,0.0,0.0,0.0,1.0,0.0
6,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,ISS urges Tesla investors to vote against re election of two board members,0.0,0.0,0.0,0.0,1.0,0.0
7,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla EV sales gaining momentum in Australia   chair,0.0,0.0,0.4215,0.0,0.714,0.286
8,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Apple Joins Fellow Tech Giants in Putting a Lid on Hiring,0.0,0.0,0.0,0.0,1.0,0.0
9,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,GM Makes Audacious Prediction in Tesla Rivalry,0.0,0.0,0.2263,0.0,0.759,0.241
10,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla Q  Preview  Can Shares Regain Power ,0.0,0.0,0.296,0.0,0.732,0.268
11,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla is cutting    workers in Fremont,0.9,-0.6,-0.128,0.231,0.769,0.0
12,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla  Key Earnings Catalysts That Could Push the Stock Higher,0.75,0.125,0.0,0.0,1.0,0.0
13,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Markets lose earlier gains heading into the close  Apple weighs down tech stocks,0.3944444444444445,-0.07777777777777779,-0.0772,0.168,0.683,0.149
14,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Stock market news live updates  Stocks tumble as earnings season picks up,0.5,0.13636363636363635,0.0,0.0,1.0,0.0
15,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla upgraded to Deutsche Bank's 'short term buy' list  Uber settles disabled passenger lawsuit,0.3,-0.1,-0.2263,0.128,0.872,0.0
16,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Teslas Earnings Are Impossible to Predict   Watch These   Points Instead ,1.0,-0.6666666666666666,0.0,0.0,1.0,0.0
17,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Value stocks post best stretch in    years relative to growth stocks  but thats starting to change  Why ,0.13333333333333333,0.3333333333333333,0.6249,0.0,0.697,0.303
18,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla must pay for customers car due to massive danger caused by self driving Autopilot feature,0.6875,-0.0625,-0.5859,0.255,0.745,0.0
19,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Why Tesla  Rivian  and Nio Stock Popped Today,0.0,0.0,0.0,0.0,1.0,0.0
20,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,GM stock gets a downgrade amid worries about a recession,0.0,0.0,-0.6808,0.412,0.588,0.0
21,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Video Highlights  Charging Up Europe  Watch CEO of Allego in Fireside,0.0,0.0,0.0,0.0,1.0,0.0
22,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Twitter Musk trial  Starbucks closures  Top legal stories to watch,0.35,0.35,0.3182,0.0,0.708,0.292
23,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,How to Trade Earnings with Straddles  Featuring Netflix and Tesla ,0.0,0.0,0.0,0.0,1.0,0.0
24,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Weak Q  Deliveries Likely to Impair Tesla's  TSLA  Earnings,0.8125,-0.1875,-0.4404,0.266,0.734,0.0
25,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Musk moves to delay Twitter trial  Starbucks eyes sale of UK business  heat wave hits UK  Skittles sued,0.0,0.0,-0.3182,0.119,0.881,0.0
26,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla  Netflix to report earnings this week,0.0,0.0,0.0,0.0,1.0,0.0
27,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Energy stocks gain  Tesla stock rises  bitcoin and ethereum prices jump,0.0,0.0,0.6705,0.0,0.621,0.379
28,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,With no smoking gun  Elon Musk hopes a legal fishing expedition is key to jilting Twitter,0.6,0.1,0.4829,0.107,0.584,0.309
29,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Dow Jones Rallies As Earnings Season Continues  Goldman Sachs Jumps On Earnings,0.0,0.0,0.0,0.0,1.0,0.0
30,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Twitter Musk  Starbucks closures  Google and antitrust    legal stories to watch,0.2,0.2,0.128,0.0,0.87,0.13
31,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla plans more construction near gigafactory east of Austin,0.45,0.3,0.0,0.0,1.0,0.0
32,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,   New Stock Picks of Bruce Kovners Caxton Associates,0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0
33,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,UPDATE   U S  investigates California Tesla crash that killed motorcyclist,0.0,-0.2,-0.802,0.474,0.526,0.0
34,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,   Best Environmental Stocks to Invest In,0.3,1.0,0.6369,0.0,0.543,0.457
35,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla stock offers 'compelling opportunity' and company could positively surprise on margins  Deutsche Bank says,0.38181818181818183,0.2090909090909091,0.8481,0.0,0.519,0.481
36,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Dow Jones Futures Rise  Market Rally Eyes Key Resistance    Stocks In Buy Zones,1.0,0.0,0.0,0.0,1.0,0.0
37,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Teslas Chinese Battery Maker Is Scoping Out Factory Sites in Mexico,0.0,0.0,0.0,0.0,1.0,0.0
38,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla Wants to Lower Its Prices on One Condition,0.1,0.2,-0.296,0.216,0.784,0.0
39,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,  Stocks You'll Be Happy You Own When the Bear Market Is Over,1.0,0.7,0.5719,0.0,0.748,0.252
40,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,The job market is poised to slow 'sharply ' Goldman warns,0.575,-0.21250000000000002,0.1531,0.113,0.726,0.161
41,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Elon Musk says Tesla is integrating the worlds largest PC game marketplace into its cars  Demo probably next month,0.2,-0.2,0.0,0.0,1.0,0.0
42,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,UPDATE   Jury finds Tesla    negligent in fatal Model S crash,0.0,0.0,-0.7351,0.437,0.563,0.0
43,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Elon Musk May Have a Solution Against Heat Waves and Allergies,0.0,0.0,0.3182,0.0,0.813,0.187
44,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Drivers have decided Teslas are worth the higher sticker price  but are they ready to get burned on insurance ,0.3666666666666667,0.25,0.5719,0.0,0.783,0.217
45,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Teslas Earnings Are Impossible to Predict  Watch These   Points Instead ,1.0,-0.6666666666666666,0.0,0.0,1.0,0.0
46,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,All Eyes On Cost Controls With Chip Supply Improving Ahead Of Tesla's Q  Earnings,0.0,0.0,0.4215,0.0,0.823,0.177
47,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Jury finds Tesla    negligent in fatal Model S crash,0.0,0.0,-0.7351,0.47,0.53,0.0
48,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,CORRECTED Jury finds Tesla    negligent in fatal Model S crash,0.0,0.0,-0.7351,0.437,0.563,0.0
49,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Tesla set to report second quarter earnings on Wednesday,0.0,0.0,0.0,0.0,1.0,0.0
50,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Stock market news live updates  Stocks soar as investors parse another round of earnings,0.45,-0.03181818181818183,0.0,0.0,1.0,0.0
51,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Elon Musk Probably Downloaded His Brain into a Robot,0.0,0.0,0.0,0.0,1.0,0.0
52,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Tesla Faces Verdict in Fatal Florida Crash,0.0,0.0,-0.6808,0.525,0.339,0.136
53,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Judge allows Twitter to expedite its lawsuit against Elon Musk,0.0,0.0,-0.2263,0.174,0.826,0.0
54,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Dow Jones Rallies  Twitter Stock Gains Amid This Elon Musk Loss  Netflix Earnings Beat  Subscribers Surprise,0.0,0.0,0.296,0.116,0.657,0.227
55,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Dow Jones Rallies  Twitter Stock Gains Amid This Elon Musk Loss  Netflix Charges Ahead Of Earnings,0.0,0.0,-0.25,0.222,0.657,0.121
56,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,With Its Quarterly Earnings Report Coming Up  Is Tesla Stock A Buy ,0.0,0.0,0.0,0.0,1.0,0.0
57,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Tesla Q  earnings preview  Why      production target is key,1.0,0.0,0.0,0.0,1.0,0.0
58,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Factbox Spotlight shines on battling lawyers in Twitter Elon Musk dispute,0.0,0.0,-0.5859,0.348,0.652,0.0
59,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Nio Stock A Buy  Volkswagen Outpaces Nio  Tesla Of China  As Electric SUV Rivalries Grow,0.0,0.0,0.0,0.0,1.0,0.0
60,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Teslas Model Y is the hottest used car in the U S  right now,0.5357142857142857,0.2857142857142857,0.0,0.0,1.0,0.0
61,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Tesla braces for earnings hit  but EV delivery outlook is key,1.0,0.0,0.0,0.0,1.0,0.0
62,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Twitter has won the first leg of its legal battle with Elon Musk,0.26666666666666666,0.225,0.3818,0.146,0.562,0.292
63,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Twitter Can Fast Track Musk Lawsuit  Delaware Court Says,0.6,0.2,-0.2263,0.192,0.808,0.0
64,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Chevy Blazer EV SUV coming at the right time  GM exec says,0.5357142857142857,0.2857142857142857,0.0,0.0,1.0,0.0
65,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Twitter Musk hearing to decide whether to fast track trial,0.6,0.2,0.0,0.0,1.0,0.0
66,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Tesla Earnings  What to Look For From TSLA,0.0,0.0,0.0,0.0,1.0,0.0
67,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Twitter granted   day trial in October in case against Elon Musk,0.0,0.0,0.25,0.0,0.833,0.167
68,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Strong U S  dollar could weigh on tech earnings,0.7333333333333333,0.4333333333333333,0.5106,0.0,0.708,0.292
69,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Is Rivian Stock A Buy As Management Clarifies Layoffs  Cost Cuts,0.0,0.0,-0.0772,0.168,0.687,0.145
70,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Top Millennial  Gen Z Stocks Shift To Energy Plays  Popular Pick Tesla To Report Earnings Wednesday,0.7,0.55,0.7717,0.0,0.58,0.42
71,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,GM Unveils New Weapon Against Tesla and Ford,0.45454545454545453,0.13636363636363635,-0.296,0.239,0.761,0.0
72,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,GM Will Finally Have Rival to Teslas Model Y With Blazer EV,1.0,0.0,0.0,0.0,1.0,0.0
73,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Dow Jones Rallies But IBM Dives On Earnings  Netflix Earnings Due,0.375,-0.125,0.0,0.0,1.0,0.0
74,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Earnings season to offer a huge unveiling of companies recession plans  Strategist,0.9,0.4000000000000001,-0.128,0.185,0.662,0.152
75,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Twitter  Tesla CEO Elon Musk go to court for first time,0.3333333333333333,0.25,0.0,0.0,1.0,0.0
76,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,   Most Shorted Stocks to Watch in July,0.5,0.5,0.0,0.0,1.0,0.0
77,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Why is Elon Musk in court today ,0.0,0.0,0.0,0.0,1.0,0.0
78,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Tesla In Yet Another Legal Soup After German Suit Over Carbon Emission  Data Privacy,0.1,0.1,0.128,0.0,0.897,0.103
79,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Tesla Layoffs Acquires Momentum  Read To Know,0.0,0.0,0.0,0.0,1.0,0.0
80,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Tesla forced to pay for owners          car over its dangerous Autopilotbut dont expect it will do this for everyone,0.55,-0.45,-0.7579,0.319,0.681,0.0
81,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Dow Jones Futures  Stock Market Stages Nasty Reversal With Netflix  Tesla Earnings Due,0.6875,-0.5625,-0.5574,0.231,0.769,0.0
82,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,GM cut to hold as Deutsche Bank says traditional automakers will struggle to regain interest,0.75,0.0,-0.1027,0.227,0.619,0.155
83,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,The Zacks Analyst Blog Highlights Tesla  Driven Brand Holdings and American Axle   Manufacturing,0.0,0.0,0.0,0.0,1.0,0.0
84,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Tesla Stock  Bull vs  Bear,0.0,0.0,0.0,0.0,1.0,0.0
85,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,What Does Tesla's Proposed   for   Stock Split Mean for Your Tax Returns ,0.6875,-0.3125,0.0,0.0,1.0,0.0
86,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,  Supercharged Growth Stocks Down     to     That Billionaires Can't Stop Buying,0.2888888888888889,-0.15555555555555559,0.5405,0.0,0.641,0.359
87,2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,0.02071672073635633,238.35633335999998,302.77836616499997,Tesla Hit by German Suit Over Car Surveillance  Carbon Footprint,0.0,0.0,0.0,0.0,1.0,0.0
88,2022-07-20,246.78334,250.66333,243.483337,247.5,247.5,88864200,0.008023463560556499,237.5353336,302.72383277999995,Yahoo Finance Presents  Pete Buttigieg,0.0,0.0,0.0,0.0,1.0,0.0
